sku,name,category,description,specs,precio_lista,precio_efectivo,precio_transferencia,precio_mayorista,precio_mayorista_transferencia,cuotas,cuota_valor,timestamp,images
AUTO-20260731111239-1,Bolsa de Box con Guantes Chicos de Hulk para Chicos,Accesorios,,,4763,4049,4287,3968,4047,3,1588,2026-07-31T11:12:39,organized_images/AUTO-20260731111239-1_Bolsa_de_Box_con_Guantes_Chicos_de_Hulk_para_Chico/AUTO-20260731111239-1_1.jpeg
AUTO-20260731111239-13,Bolsa de Box + Guantes (chico) de Boca para chicos,Accesorios,"TAMBIÉN DISPONIBLE EN:
- IRON MAN
- HOMBRE ARAÑA
- CAPITAN AMÉRICA",,4783,4066,4305,3984,,3,1594,2026-07-31T11:12:39,organized_images/AUTO-20260731111239-13_Bolsa_de_Box__Guantes_chico_de_Boca_para_chicos/AUTO-20260731111239-13_1.jpeg
6140,Silla Gamer Ultrom Negro-Verde (N°6140,Gaming,,,130513,110936,117461,108326,,3,43504,2026-07-31T11:12:39,organized_images/6140_Silla_Gamer_Ultrom_Negro-Verde_N6140/6140_1.jpeg
6232,Mesa Gamer GT-2310 Ultrom (6232,Gaming,,"✅ Estructura robusta y resistente
✅ Pasacables
✅ Superficie anti-rayones
✅ Acabado texturizado",124528,105848,107965,103358,,3,41509,2026-07-31T11:12:40,organized_images/6232_Mesa_Gamer_GT-2310_Ultrom_6232/6232_1.jpeg
5448,Celular Moto E14 Lavanda 2+2+64GB (N°5448,Celulares,,,166108,141192,149497,137870,,3,55369,2026-07-31T11:12:40,organized_images/5448_Celular_Moto_E14_Lavanda_2264GB_N5448/5448_1.jpeg
9347,"Potencia, espacio y estilo en la palma de tu mano",Varios,(9347) Celular Motorola G06 4GB RAM + 128GB Azul,"* ✅ Pantalla amplia y brillante
* ✅ 4GB de memoria RAM
* ✅ 128GB de almacenamiento interno
* ✅ Batería de larga duración
* ✅ Cámara para capturar tus mejores momentos
* ✅ Sistema Android
* ✅ Diseño moderno y elegante en color azul",253012,215060,219362,210000,,3,84338,2026-07-31T11:12:40,organized_images/9347_Potencia_espacio_y_estilo_en_la_palma_de_tu_mano/9347_1.jpeg|organized_images/9347_Potencia_espacio_y_estilo_en_la_palma_de_tu_mano/9347_2.jpeg
AUTO-20260731111240-80,"𝐓𝐚𝐛𝐥𝐞𝐭 𝐔𝐥𝐭𝐫𝐨𝐦 𝐀𝐥𝐩𝐡𝐚 𝟏𝟎.𝟏"" 𝟏𝟐𝟖𝐆𝐁 (𝐍°𝟔𝟖𝟔𝟓",Tablets,"𝐏𝐚𝐧𝐭𝐚𝐥𝐥𝐚 𝟏𝟎.𝟏"" 𝐇𝐃 📱
𝐀𝐧𝐝𝐫𝐨𝐢𝐝 𝟏𝟑 + 𝟒𝐆𝐁 𝐑𝐀𝐌 ⚙️
𝐀𝐥𝐦𝐚𝐜𝐞𝐧𝐚𝐦𝐢𝐞𝐧𝐭𝐨 𝟏𝟐𝟖𝐆𝐁 💾
𝐂á𝐦𝐚𝐫𝐚 𝟏𝟑𝐌𝐏 + 𝐟𝐫𝐨𝐧𝐭𝐚𝐥 𝟓𝐌𝐏 📸",,213568,181533,192212,177261,,3,71190,2026-07-31T11:12:40,organized_images/AUTO-20260731111240-80_𝐓𝐚𝐛𝐥𝐞𝐭_𝐔𝐥𝐭𝐫𝐨𝐦_𝐀𝐥𝐩𝐡𝐚_𝟏𝟎𝟏_𝟏𝟐𝟖𝐆𝐁_𝐍𝟔𝟖𝟔𝟓/AUTO-20260731111240-80_1.jpeg
6865,"Tablet Ultrom Alpha 10.1"" 128GB 4RAM (N°6865",Tablets,,,213568,181533,192212,177261,,3,71190,2026-07-31T11:12:40,organized_images/6865_Tablet_Ultrom_Alpha_101_128GB_4RAM_N6865/6865_1.jpeg
5751,Sillón Playero MOR Plegable (5751,Outdoor/Playa,🪑 Sillón Playero MOR Plegable (5751),"✔️ Práctico y liviano
✔️ Se pliega fácil para transportar
✔️ Ideal para playa, camping o patio",23813,20241,21432,19765,,,,2026-07-31T13:51:52,organized_images/5751_Sillón_Playero_MOR_Plegable_5751/5751_1.jpeg
5752,Reposera 8 Posiciones Mor de Aluminio (N°5752,Outdoor/Playa,,"✅ 8 posiciones — Ajustá el respaldo como más te guste, desde sentado hasta acostado 😌
✅ Reposabrazos de plástico — Más confort y durabilidad 💪
✅ Estructura de aluminio — Liviana, resistente y libre de óxido ⚙️
✅ Plegable y portátil — Llevála fácil a la playa, patio o camping 🚗
✅ Soporta hasta 100 kg — Seguridad y comodidad garantizadas 🧍",33298,28303,29968,27637,,,,2026-07-31T13:51:53,organized_images/5752_Reposera_8_Posiciones_Mor_de_Aluminio_N5752/5752_1.jpeg
